39.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,FINEST;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,NONE
22:56:37.0 (53224)|USER_INFO|[EXTERNAL]|0056A000000UMYo|suneelcando@gmail.com|Pacific Standard Time|GMT-07:00
22:56:37.0 (76616)|EXECUTION_STARTED
22:56:37.0 (80470)|CODE_UNIT_STARTED|[EXTERNAL]|0666A000001DsPC|VF: /apex/IndentationChecker
22:56:37.0 (224878)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0666A000001DsPC
22:56:37.0 (5249063)|HEAP_ALLOCATE|[72]|Bytes:3
22:56:37.0 (5301983)|HEAP_ALLOCATE|[77]|Bytes:152
22:56:37.0 (5314068)|HEAP_ALLOCATE|[342]|Bytes:408
22:56:37.0 (5327299)|HEAP_ALLOCATE|[355]|Bytes:408
22:56:37.0 (5338766)|HEAP_ALLOCATE|[467]|Bytes:48
22:56:37.0 (5390123)|HEAP_ALLOCATE|[139]|Bytes:6
22:56:37.0 (6493305)|VF_DESERIALIZE_VIEWSTATE_END
22:56:37.0 (7698831)|SYSTEM_MODE_ENTER|true
22:56:37.0 (7748270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:112
22:56:37.0 (7765924)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
22:56:37.0 (7780544)|METHOD_ENTRY|[1]|01p6A000003fOZX|IndentationCheckerController.IndentationCheckerController()
22:56:37.0 (7783926)|STATEMENT_EXECUTE|[1]
22:56:37.0 (7788525)|STATEMENT_EXECUTE|[1]
22:56:37.0 (7798680)|METHOD_EXIT|[1]|IndentationCheckerController
22:56:37.0 (8013946)|SYSTEM_MODE_ENTER|true
22:56:37.0 (8110506)|SYSTEM_MODE_ENTER|true
22:56:37.0 (8131866)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
22:56:37.0 (8139906)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
22:56:37.0 (8169950)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.inputString|"asdfas;dfa{sd"|0x47716be5
22:56:37.0 (8213857)|SYSTEM_MODE_ENTER|true
22:56:37.0 (8224927)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
22:56:37.0 (8230821)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.outputString|""|0x47716be5
22:56:37.0 (8569076)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
22:56:37.0 (8577084)|VARIABLE_SCOPE_BEGIN|[12]|this|IndentationCheckerController|true|false
22:56:37.0 (8613191)|VARIABLE_ASSIGNMENT|[12]|this|{"chars":"0x295b9a41","inputString":"asdfas;dfa{sd","outputString":""}|0x47716be5
22:56:37.0 (8621268)|STATEMENT_EXECUTE|[12]
22:56:37.0 (8622592)|STATEMENT_EXECUTE|[13]
22:56:37.0 (8623452)|STATEMENT_EXECUTE|[13]
22:56:37.0 (8625359)|STATEMENT_EXECUTE|[14]
22:56:37.0 (8630456)|VARIABLE_SCOPE_BEGIN|[14]|i|Integer|false|false
22:56:37.0 (8633350)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (8639450)|VARIABLE_ASSIGNMENT|[14]|i|0
22:56:37.0 (8727823)|STATEMENT_EXECUTE|[14]
22:56:37.0 (8739013)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8743355)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8777055)|HEAP_ALLOCATE|[50]|Bytes:5
22:56:37.0 (8795400)|HEAP_ALLOCATE|[56]|Bytes:5
22:56:37.0 (8800413)|HEAP_ALLOCATE|[64]|Bytes:7
22:56:37.0 (8837258)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8840953)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8850126)|STATEMENT_EXECUTE|[15]
22:56:37.0 (8852090)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (8856813)|VARIABLE_ASSIGNMENT|[14]|i|1
22:56:37.0 (8865354)|STATEMENT_EXECUTE|[14]
22:56:37.0 (8867369)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8873175)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8877062)|STATEMENT_EXECUTE|[15]
22:56:37.0 (8878216)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (8880913)|VARIABLE_ASSIGNMENT|[14]|i|2
22:56:37.0 (8885774)|STATEMENT_EXECUTE|[14]
22:56:37.0 (8887792)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8892042)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8895187)|STATEMENT_EXECUTE|[15]
22:56:37.0 (8896286)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (8898810)|VARIABLE_ASSIGNMENT|[14]|i|3
22:56:37.0 (8903196)|STATEMENT_EXECUTE|[14]
22:56:37.0 (8904751)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8908922)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8911983)|STATEMENT_EXECUTE|[15]
22:56:37.0 (8913069)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (8916057)|VARIABLE_ASSIGNMENT|[14]|i|4
22:56:37.0 (8920311)|STATEMENT_EXECUTE|[14]
22:56:37.0 (8921893)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8925620)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8928647)|STATEMENT_EXECUTE|[15]
22:56:37.0 (8929767)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (8932093)|VARIABLE_ASSIGNMENT|[14]|i|5
22:56:37.0 (8936321)|STATEMENT_EXECUTE|[14]
22:56:37.0 (8937876)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8942117)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8945081)|STATEMENT_EXECUTE|[15]
22:56:37.0 (8946197)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (8948331)|VARIABLE_ASSIGNMENT|[14]|i|6
22:56:37.0 (8952646)|STATEMENT_EXECUTE|[14]
22:56:37.0 (8954333)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (8958758)|STATEMENT_EXECUTE|[15]
22:56:37.0 (8959695)|STATEMENT_EXECUTE|[16]
22:56:37.0 (8972117)|METHOD_ENTRY|[16]|01p6A000003fOZX|IndentationCheckerController.addEnter()
22:56:37.0 (8984592)|VARIABLE_SCOPE_BEGIN|[25]|this|IndentationCheckerController|true|false
22:56:37.0 (9002290)|VARIABLE_ASSIGNMENT|[25]|this|{"chars":"0x295b9a41","inputString":"asdfas;dfa{sd","outputString":""}|0x47716be5
22:56:37.0 (9006939)|STATEMENT_EXECUTE|[25]
22:56:37.0 (9008355)|STATEMENT_EXECUTE|[26]
22:56:37.0 (9029091)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"chars":"0x295b9a41","inputString":"asdfas;dfa{sd","outputString":""}|0x47716be5
22:56:37.0 (9036378)|HEAP_ALLOCATE|[26]|Bytes:1
22:56:37.0 (9049881)|HEAP_ALLOCATE|[26]|Bytes:1
22:56:37.0 (9053334)|METHOD_EXIT|[16]|01p6A000003fOZX|IndentationCheckerController.addEnter()
22:56:37.0 (9072128)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"chars":"0x295b9a41","inputString":"asdfas;dfa{sd","outputString":""}|0x47716be5
22:56:37.0 (9077626)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"\n"
22:56:37.0 (9083757)|VARIABLE_ASSIGNMENT|[3]|this.outputString|"\n"|0x47716be5
22:56:37.0 (9088297)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (9091790)|VARIABLE_ASSIGNMENT|[14]|i|7
22:56:37.0 (9098089)|STATEMENT_EXECUTE|[14]
22:56:37.0 (9100323)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (9106366)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (9110416)|STATEMENT_EXECUTE|[15]
22:56:37.0 (9111720)|HEAP_ALLOCATE|[14]|Bytes:4
22:56:37.0 (9114408)|VARIABLE_ASSIGNMENT|[14]|i|8
22:56:37.0 (9118958)|STATEMENT_EXECUTE|[14]
22:56:37.0 (9121572)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (9125325)|HEAP_ALLOCATE|[15]|Bytes:1
22:56:37.0 (9128990)|STATEMENT_EXECUTE|[15]
