39.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,FINEST;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,NONE
22:57:24.0 (52180)|USER_INFO|[EXTERNAL]|0056A000000UMYo|suneelcando@gmail.com|Pacific Standard Time|GMT-07:00
22:57:24.0 (76909)|EXECUTION_STARTED
22:57:24.0 (80579)|CODE_UNIT_STARTED|[EXTERNAL]|0666A000001DsPC|VF: /apex/IndentationChecker
22:57:24.0 (202916)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0666A000001DsPC
22:57:24.0 (24818288)|HEAP_ALLOCATE|[72]|Bytes:3
22:57:24.0 (24873203)|HEAP_ALLOCATE|[77]|Bytes:152
22:57:24.0 (24884890)|HEAP_ALLOCATE|[342]|Bytes:408
22:57:24.0 (24897392)|HEAP_ALLOCATE|[355]|Bytes:408
22:57:24.0 (24909591)|HEAP_ALLOCATE|[467]|Bytes:48
22:57:24.0 (24933718)|HEAP_ALLOCATE|[139]|Bytes:6
22:57:24.0 (26081553)|VF_DESERIALIZE_VIEWSTATE_END
22:57:24.0 (26782413)|SYSTEM_MODE_ENTER|true
22:57:24.0 (26811219)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:112
22:57:24.0 (26836038)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
22:57:24.0 (26851769)|METHOD_ENTRY|[1]|01p6A000003fOZX|IndentationCheckerController.IndentationCheckerController()
22:57:24.0 (26855731)|STATEMENT_EXECUTE|[1]
22:57:24.0 (26860355)|STATEMENT_EXECUTE|[1]
22:57:24.0 (26872693)|METHOD_EXIT|[1]|IndentationCheckerController
22:57:24.0 (26935254)|SYSTEM_MODE_ENTER|true
22:57:24.0 (26982179)|SYSTEM_MODE_ENTER|true
22:57:24.0 (27001102)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
22:57:24.0 (27009303)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
22:57:24.0 (27037370)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.inputString|"asdfas;dfa{sd"|0x293dc5d2
22:57:24.0 (27059263)|SYSTEM_MODE_ENTER|true
22:57:24.0 (27069118)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
22:57:24.0 (27074067)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.outputString|""|0x293dc5d2
22:57:24.0 (27367234)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
22:57:24.0 (27376130)|VARIABLE_SCOPE_BEGIN|[12]|this|IndentationCheckerController|true|false
22:57:24.0 (27412457)|VARIABLE_ASSIGNMENT|[12]|this|{"chars":"0x4cdf22da","inputString":"asdfas;dfa{sd","outputString":""}|0x293dc5d2
22:57:24.0 (27420337)|STATEMENT_EXECUTE|[12]
22:57:24.0 (27421673)|STATEMENT_EXECUTE|[13]
22:57:24.0 (27422491)|STATEMENT_EXECUTE|[13]
22:57:24.0 (27424283)|STATEMENT_EXECUTE|[14]
22:57:24.0 (27428758)|VARIABLE_SCOPE_BEGIN|[14]|i|Integer|false|false
22:57:24.0 (27432068)|HEAP_ALLOCATE|[14]|Bytes:4
22:57:24.0 (27437422)|VARIABLE_ASSIGNMENT|[14]|i|0
22:57:24.0 (27474854)|STATEMENT_EXECUTE|[14]
22:57:24.0 (27476233)|STATEMENT_EXECUTE|[15]
22:57:24.0 (27501601)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"chars":"0x4cdf22da","inputString":"asdfas;dfa{sd","outputString":""}|0x293dc5d2
22:57:24.0 (27514919)|HEAP_ALLOCATE|[15]|Bytes:1
22:57:24.0 (27529708)|HEAP_ALLOCATE|[15]|Bytes:1
22:57:24.0 (27548564)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"chars":"0x4cdf22da","inputString":"asdfas;dfa{sd","outputString":""}|0x293dc5d2
22:57:24.0 (27552197)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"a"
22:57:24.0 (27558860)|VARIABLE_ASSIGNMENT|[3]|this.outputString|"a"|0x293dc5d2
22:57:24.0 (27565000)|HEAP_ALLOCATE|[16]|Bytes:1
22:57:24.0 (27567934)|HEAP_ALLOCATE|[16]|Bytes:1
22:57:24.0 (27597677)|HEAP_ALLOCATE|[50]|Bytes:5
22:57:24.0 (27611328)|HEAP_ALLOCATE|[56]|Bytes:5
22:57:24.0 (27615802)|HEAP_ALLOCATE|[64]|Bytes:7
22:57:24.0 (27649394)|HEAP_ALLOCATE|[16]|Bytes:1
22:57:24.0 (27652119)|HEAP_ALLOCATE|[16]|Bytes:1
22:57:24.0 (27659103)|STATEMENT_EXECUTE|[16]
22:57:24.0 (27661432)|HEAP_ALLOCATE|[14]|Bytes:4
22:57:24.0 (27665371)|VARIABLE_ASSIGNMENT|[14]|i|1
22:57:24.0 (27673974)|STATEMENT_EXECUTE|[14]
22:57:24.0 (27675201)|STATEMENT_EXECUTE|[15]
22:57:24.0 (27689181)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"chars":"0x4cdf22da","inputString":"asdfas;dfa{sd","outputString":"a"}|0x293dc5d2
22:57:24.0 (27696247)|HEAP_ALLOCATE|[15]|Bytes:1
22:57:24.0 (27699886)|HEAP_ALLOCATE|[15]|Bytes:2
22:57:24.0 (27709918)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"chars":"0x4cdf22da","inputString":"asdfas;dfa{sd","outputString":"a"}|0x293dc5d2
22:57:24.0 (27712924)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"as"
22:57:24.0 (27717079)|VARIABLE_ASSIGNMENT|[3]|this.outputString|"as"|0x293dc5d2
22:57:24.0 (27721442)|HEAP_ALLOCATE|[16]|Bytes:1
22:57:24.0 (27727174)|HEAP_ALLOCATE|[16]|Bytes:1
22:57:24.0 (27731413)|STATEMENT_EXECUTE|[16]
22:57:24.0 (27732773)|HEAP_ALLOCATE|[14]|Bytes:4
22:57:24.0 (27735629)|VARIABLE_ASSIGNMENT|[14]|i|2
22:57:24.0 (27741387)|STATEMENT_EXECUTE|[14]
22:57:24.0 (27742385)|STATEMENT_EXECUTE|[15]
22:57:24.0 (27752532)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"chars":"0x4cdf22da","inputString":"asdfas;dfa{sd","outputString":"as"}|0x293dc5d2
22:57:24.0 (27757543)|HEAP_ALLOCATE|[15]|Bytes:1
22:57:24.0 (27760351)|HEAP_ALLOCATE|[15]|Bytes:3
